nome_consel,entidade_sigla,categoria1,categoria2
adriano augusto ara̼jo jorge,IMA,Gesṭo P̼blica,Poder P̼blico
alberto da silva santos,IRCOS,ONGs Ambientalistas,Sociedade Civil
alberto rodrigues,AHMAJA,Atividade Tur�_stica,Sociedade Civil
alexandre henrique rocha dantas,SINGTUR-AL/IABS,Atividade Tur�_stica,Sociedade Civil
alfredo ferraz,PMTAM,Gesṭo P̼blica,Poder P̼blico
amaro jos̩ da silva,Z-15,Atividade Pesqueira,Sociedade Civil
ana das dores albuquerque ver̤osa,ARIBAMA/AJCSMM,Atividade Tur�_stica,Sociedade Civil
ana paula de moura souza,AMITUS,Atividade Tur�_stica,Sociedade Civil
anderson da silva santos,PMTAM,Gesṭo P̼blica,Poder P̼blico
andr̩ vieira de paula,ISSLNM,Organiza̵̤es de educa̤̣o e cultura e associa̵̤es comunit��rias,Sociedade Civil
andrea olinto,SEMAS,Gesṭo P̼blica,Poder P̼blico
anivaldo miranda pinto,SEMARH,Gesṭo P̼blica,Poder P̼blico
antonia amorim alves,PMPAR,Gesṭo P̼blica,Poder P̼blico
antonio marcos dos santos silva,Z-15,Atividade Pesqueira,Sociedade Civil
beatriz mesquita j. pedrosa,FUNDAJ,Institui̤̣o de Ensino e Pesquisa,Poder P̼blico
beatriz mesquita jardim barbosa,FUNDAJ,Institui̤̣o de Ensino e Pesquisa,Poder P̼blico
benaldo do nascimento barros,Z-21/Z-14,Atividade Pesqueira,Sociedade Civil
bernadete weber reckziegel,SPU/AL,Gesṭo P̼blica,Poder P̼blico
bruno stefanis s. pereira de oliveira,BIOTA-AL,ONGs Ambientalistas,Sociedade Civil
carlos danile per̩z,PPGSHMA/UFPE,Institui̤̣o de Ensino e Pesquisa,Poder P̼blico
carlos eduardo gomes barreto,SEMARH,Gesṭo P̼blica,Poder P̼blico
"carlos palmeira lopes villanova,ABIH AL/ABAY,""Agricultura, Ind̼stria e Com̩rcio"",Sociedade Civil"
carolina neves souza,YANDE,Organiza̵̤es de educa̤̣o e cultura e associa̵̤es comunit��rias,Sociedade Civil
Caroline V Cooke,IBAMA/AL,Gesṭo P̼blica,Poder P̼blico
cicero de oliveira,ARIBAMA,Atividade Tur�_stica,Sociedade Civil
c�_cero de oliveira,ARIBAMA,Atividade Tur�_stica,Sociedade Civil
c�_cero jos̩ dos santos,Z-9,Atividade Pesqueira,Sociedade Civil
c�_cero pereira de castro junior,MPA/PE,Gesṭo P̼blica,Poder P̼blico
