"nome_representante","instituicao_sigla","categoria1","categoria2","obs"
"antonio_dos_santos_alves_","Acau","Atividade Pesqueira","Sociedade Civil",NA
"glória_maria_","Acau","Atividade Pesqueira","Sociedade Civil",NA
"nadieja_silva_santos_","Acau","Atividade Pesqueira","Sociedade Civil",NA
"nadir_","Acau","Atividade Pesqueira","Sociedade Civil",NA
"alexandre_ramos_","APAC","Gestão Pública","Poder Público","convidado"
"andré_nogueira_","Baldo_do_Rio","Atividade Pesqueira","Sociedade Civil",NA
"ângela_","Baldo_do_Rio","Atividade Pesqueira","Sociedade Civil",NA
"gilmarcos_","Baldo_do_Rio","Atividade Pesqueira","Sociedade Civil",NA
"maria_ângela_","Baldo_do_Rio","Atividade Pesqueira","Sociedade Civil",NA
"andré_vieira_figueiredo_","BRAMEX","Agricultura, Indústria e Comércio","Sociedade Civil",NA
"luciano_moreira_","CAIG","Agricultura, Indústria e Comércio","Agricultura, Indústria e Comércio","VERIFICAR"
"mônica_","CAIG","Agricultura, Indústria e Comércio","Agricultura, Indústria e Comércio","VERIFICAR"
"edeburgo_","Carne_de_Vaca","Atividade Pesqueira","Sociedade Civil",NA
"ednauro_","Carne_de_Vaca","Atividade Pesqueira","Sociedade Civil",NA
"gerusa_","Carne_de_Vaca","Atividade Pesqueira","Sociedade Civil",NA
"fabiano_pimentel_","CEPENE","Gestão Pública","Poder Público",NA
"amara_","Comunidade_Tejucupapo","Atividade Pesqueira","Sociedade Civil",NA
"andréia_","Comunidade_Tejucupapo","Atividade Pesqueira","Sociedade Civil",NA
"laurineide_","CPP","Atividade Pesqueira","Sociedade Civil",NA
"severino_","CPP","Atividade Pesqueira","Sociedade Civil",NA
"carlos_andré_cavalcanti_","CPRH","Gestão Pública","Poder Público",NA
"cosme_","CPRH","Gestão Pública","Poder Público","analista"
"elba_borges_ferreira_","CPRH","Gestão Pública","Poder Público",NA
"helio_cavalcanti_","CPRH","Gestão Pública","Poder Público",NA
"tarcisio_","FUNDAJ","Instituição de Ensino e Pesquisa","Poder Público",NA
"cláudio_augusto_","ICMBio","Gestão Pública","Poder Público","analista"
"elivan_arantes_de_souza_","ICMBio","Gestão Pública","Poder Público","analista"
"inês_serrano_","ICMBio","Gestão Pública","Poder Público",NA
"isabela_deiss_","ICMBio","Gestão Pública","Poder Público",NA
"luis_wagner_","ICMBio","Gestão Pública","Poder Público","chefe"
"marisol_pessanha_","ICMBio","Gestão Pública","Poder Público","chefe"
"mírian_lucatelli_","ICMBio","Gestão Pública","Poder Público","chefe"
"maurício_camargo_","IFPB","Instituição de Ensino e Pesquisa","Poder Público",NA
"amanda_","Klabin","Agricultura, Indústria e Comércio","Sociedade Civil",NA
"alysson_","LAFARGE","Agricultura, Indústria e Comércio","Sociedade Civil",NA
"maurício_bandeira_","LAFARGE","Agricultura, Indústria e Comércio","Sociedade Civil",NA
"darlany_da_rocha_","MPPE","Gestão Pública","Poder Público",NA
"abraão_rodrigues_lira_","Oxinor","Agricultura, Indústria e Comércio","Sociedade Civil",NA
"júlia_nazário_","Prefeitura_Caaporã","Gestão Pública","Poder Público",NA
"ivo_câmara_","Prefeitura_Goiana","Gestão Pública","Poder Público",NA
"jorge_","Prefeitura_Goiana","Gestão Pública","Poder Público",NA
"marcelo_andrade_","Prefeitura_Goiana","Gestão Pública","Poder Público",NA
"antônio_albertim_","Prefeitura_Pitimbu","Gestão Pública","Poder Público",NA
"tiago_albertim_","Prefeitura_Pitimbu","Gestão Pública","Poder Público",NA
"edjane_agostinho_","São_Lourenço","Atividade Pesqueira","Sociedade Civil",NA
"lenildo_","São_Lourenço","Atividade Pesqueira","Sociedade Civil",NA
"marivaldo_","São_Lourenço","Atividade Pesqueira","Sociedade Civil",NA
"niedja_gomes_","São_Lourenço","Atividade Pesqueira","Sociedade Civil",NA
"severina_maria_","São_Lourenço","Atividade Pesqueira","Sociedade Civil",NA
"sandra_","SPU","Atividade Pesqueira","Sociedade Civil",NA
"veronica_","SUDEMA","Gestão Pública","Poder Público",NA
"jane_torelli_","UFPB","Instituição de Ensino e Pesquisa","Poder Público",NA
"gilberto_","UFPE","Instituição de Ensino e Pesquisa","Poder Público",NA
"mário_barletta_","UFPE","Instituição de Ensino e Pesquisa","Poder Público",NA
"solange_coutinho_","UPE","Instituição de Ensino e Pesquisa","Poder Público","convidado"
